model,condition,seed,temperature,gold_family,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
qwen3:14b,direct,55,0.0,arc,40,1.0,3.65,1.05,0.275,0.15,0.425,0.175,2.9618804875033673,0.0,0.0,0.0,0.025,0.05,0.0,0.125,0.0375,0.014583333333333334,0.0,0.0375,0.0,0.05,0.016666666666666666,0.925,0.93,0.5125,0.575,0.8,0.7485,0.6889916666666666,0.8020125,0.7585,0.6914958333333333,0.8138333333333333,0.6710839118929425
qwen3:14b,direct,55,0.0,arc+bar+line,1,1.0,5.0,5.0,1.0,1.0,1.0,1.0,3.402174000046216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.261183836664144
qwen3:14b,direct,55,0.0,bar,22,1.0,3.909090909090909,1.3181818181818181,0.36363636363636365,0.18181818181818182,0.5909090909090909,0.2727272727272727,4.59672123181041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8606060606060606,0.5348484848484849,0.803030303030303,0.6363636363636364,0.766969696969697,0.7000000000000001,0.8318257575757575,0.7912121212121213,0.73,0.8496969696969697,0.8824606004158312
qwen3:14b,direct,55,0.0,bar+line,3,1.0,5.0,3.3333333333333335,1.0,1.0,1.0,0.3333333333333333,3.9050013000378385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8666666666666667,0.13333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5599999999999999,0.8400000000000001,0.7266666666666666,0.5599999999999999,0.9199999999999999,0.908996838514838
qwen3:14b,direct,55,0.0,bar+line+point,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.956523500033654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.28571428571428575,0.6666666666666666,0.0,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.18590559731608028
qwen3:14b,direct,55,0.0,bar+line+rect,4,1.0,4.0,1.5,0.5,0.0,1.0,0.5,3.008778200048255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8,0.5,0.41666666666666663,0.75,0.6433333333333333,0.55,0.74,0.7433333333333333,0.64,0.85,0.5211070326372969
qwen3:14b,direct,55,0.0,boxplot,23,1.0,3.5217391304347827,2.4782608695652173,0.8260869565217391,0.6521739130434783,0.9565217391304348,0.6956521739130435,2.796941239113474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,1.0,0.391304347826087,0.34782608695652173,0.7391304347826086,0.6782608695652174,0.591304347826087,0.7652173913043478,0.7060869565217391,0.6225869565217391,0.788695652173913,0.7440761336364801
qwen3:14b,direct,55,0.0,line,16,1.0,4.0625,1.625,0.375,0.125,0.625,0.25,3.8561776249771356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.9875,0.61875,0.6541666666666667,0.5625,0.7520833333333333,0.6812395833333333,0.8225104166666666,0.7775,0.7141666666666667,0.84209375,0.6981419045922994
qwen3:14b,direct,55,0.0,point,13,1.0,4.384615384615385,3.6153846153846154,0.7692307692307693,0.5384615384615384,1.0,0.6153846153846154,3.9616892461288864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.8131868131868132,0.19780219780219782,0.07692307692307693,0.6923076923076923,0.44835164835164837,0.33243956043956047,0.5799377289377289,0.5071062271062271,0.38561904761904764,0.6370695970695971,0.5060132170599088
qwen3:14b,direct,55,0.0,rect,27,1.0,3.074074074074074,2.185185185185185,0.7777777777777778,0.6296296296296297,0.9259259259259259,0.7407407407407407,3.467281177773623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9259259259259259,0.9925925925925926,0.619753086419753,0.5864197530864198,0.5925925925925926,0.7434567901234568,0.6730864197530865,0.8163024691358024,0.7706172839506172,0.7041913580246915,0.837037037037037,0.6286631918451192
