model,condition,seed,temperature,gold_family,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
gemma3:27b,staged,55,0.0,arc,40,1.0,1.0,0.575,0.575,0.425,0.725,0.575,44.31278826749476,0.25,0.125,0.375,0.25,0.25,0.125,0.4,0.0925,0.25,0.125,0.4,0.25,0.25,0.25,0.925,0.9016666666666666,0.61,0.6333333333333333,0.75,0.764,0.6876625,0.8341833333333334,0.764,0.6813166666666667,0.8333541666666665,0.3837852133421318
gemma3:27b,staged,55,0.0,arc+bar+line,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.072681899997406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46927872602275644
gemma3:27b,staged,55,0.0,bar,22,1.0,1.0454545454545454,0.5454545454545454,0.5,0.2727272727272727,0.7272727272727273,0.5,45.60986911363116,0.13636363636363635,0.0,0.3181818181818182,0.13636363636363635,0.13636363636363635,0.0,0.2727272727272727,0.035606060606060606,0.13636363636363635,0.0,0.3181818181818182,0.13636363636363635,0.13636363636363635,0.13636363636363635,1.0,0.843939393939394,0.5227272727272727,0.8106060606060606,0.6363636363636364,0.7627272727272727,0.6975757575757576,0.8269772727272727,0.7627272727272727,0.6945378787878789,0.8257727272727273,0.3785791527156021
gemma3:27b,staged,55,0.0,bar+line,3,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,50.56576389997887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7555555555555555,0.26666666666666666,0.5,1.0,0.7044444444444444,0.5333333333333333,0.8400000000000001,0.7488888888888889,0.6666666666666666,0.8400000000000001,0.4989229040680283
gemma3:27b,staged,55,0.0,bar+line+point,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.584947400027886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.25861733291100014
gemma3:27b,staged,55,0.0,bar+line+rect,4,1.0,1.25,0.75,0.5,0.0,1.0,0.5,47.77700865000952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.8500000000000001,0.5833333333333334,0.75,0.5,0.6866666666666666,0.53,0.8504999999999971,0.6866666666666666,0.53,0.85,0.25796537503680184
gemma3:27b,staged,55,0.0,boxplot,23,1.0,1.0434782608695652,0.9565217391304348,0.9130434782608695,0.782608695652174,1.0,0.9130434782608695,42.900388926085405,0.17391304347826086,0.043478260869565216,0.34782608695652173,0.17391304347826086,0.17391304347826086,0.043478260869565216,0.34782608695652173,0.06304347826086956,0.17391304347826086,0.043478260869565216,0.34782608695652173,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.9130434782608695,0.9710144927536232,0.4782608695652174,0.5217391304347826,0.7391304347826086,0.7246376811594203,0.6391304347826087,0.808695652173913,0.7246376811594203,0.6405434782608695,0.8072463768115942,0.36565944178647786
gemma3:27b,staged,55,0.0,line,16,1.0,1.125,0.8125,0.75,0.5,0.9375,0.75,46.48498026251036,0.375,0.125,0.625,0.375,0.375,0.125,0.625,0.11041666666666666,0.375,0.125,0.625,0.375,0.375,0.375,1.0,0.9625,0.8375,0.8541666666666666,0.5625,0.8433333333333334,0.7737291666666666,0.9125,0.8483333333333334,0.7758125,0.9158333333333333,0.36656665259609555
gemma3:27b,staged,55,0.0,point,13,1.0,1.2307692307692308,1.0,0.8461538461538461,0.6153846153846154,1.0,0.8461538461538461,51.31245126923582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.7952380952380952,0.24450549450549453,0.23076923076923078,0.6923076923076923,0.5002564102564102,0.37922527472527473,0.6244047619047618,0.5002564102564102,0.38743223443223446,0.6201758241758241,0.22984344845796267
gemma3:27b,staged,55,0.0,rect,27,1.0,1.037037037037037,0.7407407407407407,0.7037037037037037,0.5185185185185185,0.8518518518518519,0.7037037037037037,47.92899329628347,0.2222222222222222,0.07407407407407407,0.4074074074074074,0.2222222222222222,0.2222222222222222,0.07407407407407407,0.37037037037037035,0.12654320987654322,0.2222222222222222,0.07407407407407407,0.4074074074074074,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.8888888888888888,0.9777777777777777,0.6592592592592592,0.7592592592592593,0.6296296296296297,0.782962962962963,0.7002283950617284,0.8533333333333334,0.782962962962963,0.7056604938271605,0.8563148148148148,0.39896521026356896
llama3.2:3b,direct,55,0.0,arc,40,1.0,4.85,1.075,0.425,0.275,0.575,0.075,7.677594242498162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,0.13,0.055,0.075,0.775,0.372,0.324,0.4185249999999998,0.44183333333333336,0.394325,0.48933333333333334,0.32150775156074635
llama3.2:3b,direct,55,0.0,arc+bar+line,1,1.0,5.0,0.0,0.0,0.0,0.0,0.0,6.01061540003866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7596740421833139
llama3.2:3b,direct,55,0.0,bar,22,1.0,4.454545454545454,2.0,0.7727272727272727,0.5909090909090909,0.9545454545454546,0.18181818181818182,7.8065193227428775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8454545454545455,0.38636363636363635,0.3787878787878788,0.6363636363636364,0.6493939393939394,0.6063636363636363,0.69425,0.6493939393939394,0.6048333333333333,0.6951590909090909,0.5710749028087457
llama3.2:3b,direct,55,0.0,bar+line,3,1.0,5.0,3.3333333333333335,1.0,1.0,1.0,0.3333333333333333,6.789957866654731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8666666666666667,0.13333333333333333,0.0,1.0,0.6,0.5599999999999999,0.64,0.6711111111111111,0.6,0.7733333333333333,0.6847194722278328
llama3.2:3b,direct,55,0.0,bar+line+point,1,1.0,5.0,5.0,1.0,1.0,1.0,1.0,7.7274991000304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.4,0.0,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.3373374715249317
llama3.2:3b,direct,55,0.0,bar+line+rect,4,1.0,5.0,2.0,0.75,0.25,1.0,0.0,8.258383924956433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.4,0.6666666666666666,0.75,0.7233333333333334,0.6233333333333333,0.7733333333333333,0.7233333333333334,0.6233333333333333,0.7733333333333333,0.4825650343446558
llama3.2:3b,direct,55,0.0,boxplot,23,1.0,3.9130434782608696,1.7391304347826086,0.6086956521739131,0.391304347826087,0.782608695652174,0.13043478260869565,5.766409408685791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,0.9565217391304348,0.45652173913043476,0.08695652173913043,0.6521739130434783,0.6130434782608696,0.5478260869565218,0.6783695652173907,0.6147826086956522,0.5521739130434783,0.68,0.5718733725566647
llama3.2:3b,direct,55,0.0,line,16,1.0,4.375,0.875,0.5625,0.3125,0.8125,0.0625,7.068356249983481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.8875,0.4125,0.25,0.5625,0.61,0.5316666666666667,0.6829166666666667,0.6279166666666667,0.5470833333333334,0.7025208333333333,0.5219142516026113
llama3.2:3b,direct,55,0.0,point,13,1.0,5.0,2.076923076923077,0.6923076923076923,0.38461538461538464,0.9230769230769231,0.07692307692307693,7.9973623846263555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.6652014652014652,0.20512820512820512,0.05128205128205128,0.6923076923076923,0.41509157509157507,0.2898168498168498,0.5424212454212454,0.5161904761904762,0.4144908424908425,0.6215421245421244,0.4093312157234652
